Acc_ID,Limit,SEX,EDUCATION,MARRIAGE,Debt,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
62,170300,2,3,1,44,556,557,558,552,552,0,554,552,552,556,0,33290,0
63,360500,2,1,2,35,20380,17731,18803,15816,16112,10793,1504,2016,1095,1026,350,1323,0
64,210500,1,3,2,36,866,1141,1520,54400,81139,82585,1147,1515,54409,30001,3759,435,0
65,80200,2,2,1,42,3,5,6,0,0,0,2,0,0,4,0,0,0
66,60200,2,2,2,43,60906,61083,61167,61055,60895,61587,2355,2532,2510,3255,2900,2630,1
67,150200,1,2,2,36,135588,138478,141303,144605,148420,150500,4004,4000,4500,5001,3500,0,0
68,20300,1,2,1,38,16439,17589,18172,8190,8190,0,1424,1000,3144,3,0,0,0
69,30400,1,2,2,29,18952,17303,14802,15566,15014,15413,1273,1300,1000,1003,800,1000,0
70,150200,2,3,1,54,29081,14136,15120,13652,86575,82377,1202,1500,3795,80002,1700,0,0
71,350500,1,1,1,40,328,2775,2256,1930,80392,78638,2776,0,8,80413,3142,2720,0
72,20300,2,3,1,52,13186,14205,16964,19651,37332,19225,1244,3000,3000,3775,1420,729,0
73,160100,2,1,2,26,37002,5,6,0,0,0,3,0,0,0,0,0,0
74,350500,1,2,2,35,38026,29498,31845,32369,33478,83304,3004,3000,3000,1502,52000,3000,0
75,190500,1,2,1,43,3752,3318,4093,4742,5875,7037,1004,1004,1500,1503,1267,1500,1
76,340300,2,3,2,48,4,1326,35037,35028,8500,1612,1328,35028,0,1,1612,0,1
77,400300,2,1,1,40,1993,2925,1727,2018,446,1068,2927,2500,2018,2,1068,0,1
78,50500,2,2,1,46,45583,41911,35710,22360,23659,27421,3023,5003,3000,3005,5000,924,0
79,350200,1,3,1,32,232503,231752,197695,207984,183208,190436,20002,20023,20014,20000,20000,20000,0
80,30300,1,2,1,33,29286,29395,30307,29463,29531,29901,1824,1730,1154,1037,1212,1054,0
81,240200,2,1,2,29,233442,236501,242454,207633,197644,193724,9001,10307,9014,6034,6014,6034,0
82,130400,1,2,1,38,25995,28058,30899,30096,32169,31520,2504,3300,0,2583,0,3225,1
83,30500,1,1,1,40,35032,34557,33763,32960,31881,31085,2,0,0,3,0,0,1
84,360300,1,1,1,46,2,714,8,0,0,0,715,0,0,1,0,0,0
85,260400,1,1,1,54,3,995,7,1930,4304,150,992,0,1930,4304,0,150,1
86,30100,1,3,1,44,391,395,398,240,1320,780,391,390,240,1472,0,0,0
87,10500,2,2,2,23,8927,8642,10284,9736,9704,9725,7,1800,0,502,600,500,0
88,20100,2,1,2,25,14610,14537,15708,16346,16837,18298,2003,2000,1000,1004,2000,2000,0
89,50100,2,2,1,34,33446,20673,22932,21767,13806,5320,2665,2917,4600,1002,5200,0,0
90,160300,2,1,2,31,157072,155765,153055,122831,124794,116746,5714,7424,4251,6010,5000,4000,1
91,360100,2,1,2,39,198842,187960,163126,140383,121771,102568,7004,8071,7029,3012,4000,9000,0
92,80400,1,1,1,38,8416,10310,9988,1261,1261,1261,2184,0,0,1262,1261,1261,1
93,50100,2,3,1,44,15215,14678,17628,17839,17257,17826,2,3200,800,5,1000,3800,0
94,20200,2,2,2,25,325,327,331,322,322,322,5,0,0,4,0,0,1
95,230400,2,2,1,45,3454,5565,1186,8563,5180,2524,5594,1186,8605,5201,2532,4759,0
96,350200,2,1,2,31,956,606,722,263,900,1271,608,716,263,901,1271,1218,0
97,60200,1,2,1,39,30383,29991,29216,29729,30505,32232,373,0,1300,1400,2400,2300,1
98,320500,1,2,2,32,26311,28241,29375,160578,129187,124967,2729,2240,160578,4603,5000,4500,0
99,50500,1,2,2,36,50941,48434,23100,10202,10476,10161,7,2000,500,1200,0,500,0
100,180400,2,1,1,48,8062,11627,16387,9795,8414,6557,11686,16466,9844,8461,6589,5823,0
101,380200,2,2,1,41,307392,280095,249025,252496,253331,238051,12942,9190,9000,8103,8100,8000,0
102,480400,1,1,1,42,5,5,9,0,0,0,4,0,0,5,0,0,0
103,180200,1,2,1,47,393,3187,786,0,0,0,3184,780,0,5,0,0,1
104,170400,1,3,2,39,21315,22962,24272,25556,29949,34434,2001,2000,2000,5005,5000,5000,0
105,140200,2,2,1,28,75294,90618,54603,31734,27211,23784,20001,3011,0,3002,0,5000,0
106,50400,1,2,2,26,11673,12670,12913,13498,13993,13854,1508,1522,1505,1001,1000,1000,0
107,20500,1,2,2,41,8802,9676,11509,0,0,0,1175,2000,0,0,0,0,0
108,140400,1,1,2,33,4904,398,6,814,0,0,399,0,814,0,0,0,0
109,50300,1,2,1,47,49575,49422,49092,33156,19344,18930,2248,1652,1497,10583,685,704,0
110,80500,2,2,1,46,82151,5,9,0,0,0,5,0,0,0,0,0,0
111,280100,2,2,1,27,256460,245717,231031,182159,80747,51689,8361,5501,4293,2081,1892,20012,0
112,280500,1,3,1,47,14188,2757,41680,33715,16955,13500,2841,41721,2090,361,67,8162,0
113,290500,2,2,1,34,149496,117280,110488,107735,100195,84268,3727,3700,4005,4001,3000,2928,0
114,510500,2,1,1,39,391,738,745,1939,739,2739,768,739,1939,741,2739,1110,0
115,120400,2,2,2,25,89245,87975,82844,73297,73084,68697,8005,3500,3500,3005,3000,3000,0
116,80500,2,1,1,54,34248,35245,36284,37290,38030,38838,1576,1605,1620,1365,1420,1500,0
117,140300,1,1,2,37,75389,74182,65344,53578,49288,43870,4003,4000,3500,2002,2500,1800,1
118,50300,2,1,2,29,6020,5,7,6085,6085,5605,4,0,6085,4,0,6690,0
119,230400,2,3,1,52,2792,2947,2529,2936,3493,3160,2948,2520,2936,3498,3160,2784,0
120,30300,2,1,2,25,3023,1484,18867,950,5660,0,1483,18881,0,4715,0,7153,0
121,200300,2,2,2,33,8351,4755,5140,245,56,167,2002,1001,501,205,501,501,0
122,100100,2,2,1,42,47245,48299,49219,49827,51005,53142,2003,1900,1600,2003,3000,0,1
123,180100,2,1,2,48,2,5,7,0,0,0,3,0,0,4,0,0,1
124,170200,1,2,1,38,5640,6326,102116,2120,2873,0,6324,102108,2120,2873,0,870,0
125,20400,2,3,1,38,15833,15288,16435,19764,19140,6420,1,1700,4000,2,1000,0,1
126,60100,2,2,2,27,60457,61422,60915,45734,40629,41137,3204,2400,12,3200,1619,0,1
127,280500,2,2,2,26,1484,11889,-18,5443,-13,-13,11944,0,5470,0,0,0,1
128,30400,1,2,2,24,26729,28294,29497,30237,30504,29771,2002,2000,1502,1117,1100,2000,0
129,200400,1,1,1,40,3053,5,100009,0,0,0,1,100000,0,0,0,0,0
130,20200,2,1,2,25,14755,14234,16444,16770,17995,17556,6,2773,605,1504,0,1456,1
131,250400,2,1,1,41,1005,4075,3638,1570,248,1247,3633,3,1575,250,1247,621,0
132,20500,2,2,2,36,17490,3082,7,0,0,0,3083,19837,0,15849,2000,0,0
133,190500,1,3,1,36,187783,189929,192241,186472,190262,193403,6787,7071,6744,6868,7203,7182,0
134,20300,1,2,1,36,16114,16856,16299,18010,18411,19455,1307,0,2000,1005,1500,1010,0
135,30300,1,2,1,40,9304,9014,13868,13344,13972,18735,1,5000,0,1002,5000,0,0
136,10300,2,2,2,23,660,8753,9652,9541,8971,9645,10134,1200,400,327,1600,300,0
137,160500,1,1,1,39,16752,9720,5146,5379,3183,5120,1102,1500,1500,1004,2000,4000,0
138,160400,1,1,2,29,157924,144664,154020,151403,115731,113635,6006,25409,30000,5002,5000,4500,0
139,180200,2,3,1,43,3602,5189,5725,0,0,7632,5188,5719,0,4,7632,0,0
140,300100,2,3,0,55,2,5,7,0,0,0,3,0,0,4,0,0,0
141,50200,2,2,2,25,12633,12004,12997,12793,12686,12980,1212,1202,452,464,504,394,1
142,20100,1,2,2,49,393,1175,788,780,0,0,1175,0,0,1,0,0,1
143,360400,1,2,2,39,5,5,7,0,3189,177585,5,0,0,3189,177000,5000,0
144,200300,1,2,2,30,145095,151569,115843,122359,122588,119266,12003,0,10000,5001,0,6000,0
145,50500,2,1,2,24,41942,41816,35927,19987,18971,18654,1755,1253,2504,1005,1509,4495,1
146,50300,1,2,1,40,26097,25381,29554,28786,28024,28772,6,4600,0,1,1200,1200,0
147,310200,2,2,1,36,87847,42599,26204,26766,27341,28891,3028,1600,1000,1004,2000,3000,0
148,170500,2,2,2,36,2438,5,6,0,0,0,4,0,0,5,0,0,0
149,200100,2,2,1,41,393,395,398,390,390,390,391,390,390,391,390,390,1
150,20300,1,2,2,27,8478,10192,9893,11398,12208,11869,2003,0,2000,1003,0,1200,1
151,480300,2,2,2,39,5620,7605,123997,177054,273429,293157,7604,123988,60000,100001,24250,12735,0
152,20300,2,3,1,31,18922,20035,21416,21974,22391,27189,1701,2000,1200,1004,12000,1000,0
153,160500,2,2,1,29,6035,7062,7919,8080,8250,8565,1284,1132,300,302,452,312,0
154,270300,1,2,1,51,157715,154418,166557,162244,126877,129903,7107,16000,7,5004,5000,5000,0
155,150200,2,2,1,37,-8,8851,6738,0,1800,0,8859,6731,0,1801,0,0,1
156,140400,1,1,2,30,31531,30849,33970,33250,34524,38098,2,3500,0,2003,4000,0,1
157,120400,2,2,2,41,4184,5105,9,0,0,0,1005,0,0,1,0,0,0
158,180400,1,2,1,37,95759,76701,77728,79430,81098,82791,3401,2900,3000,3101,3200,7300,0
159,240100,2,1,2,29,8453,1424,37314,1086,1494,7724,1425,37307,1086,1495,7724,1101,0
160,50200,1,3,2,59,7560,7317,6965,5813,3985,3169,1144,1048,163,138,151,2000,0
161,400200,1,1,1,50,3177,4270,8409,9096,28896,52196,4267,8427,9096,28896,52196,396,0
162,50300,2,2,1,38,1895,3205,3387,3559,1948,2415,1501,400,200,500,500,400,1
163,50400,2,2,3,50,18461,20947,18951,18811,18183,18561,2816,1289,658,659,679,654,1
164,80300,1,1,2,34,14943,14462,2319,1156,1156,1469,1006,2000,0,1161,1469,0,0
165,80400,1,1,2,37,68935,67711,67026,65159,64152,65208,2502,3000,2244,2480,4800,0,0
166,410300,1,1,1,34,3248,8344,7,0,1759,2624,8341,0,0,1764,2624,0,0
167,20200,1,1,2,33,672,360,8,600,5275,841,357,0,600,5275,841,763,0
168,30200,2,2,2,30,28349,29885,29594,30687,25637,26468,2001,2000,2200,3,1800,0,0
169,20200,2,2,2,24,17382,18444,19123,11983,11626,1970,1363,1286,1000,987,39,0,0
170,350200,1,2,2,33,228012,220455,190182,192649,197269,201360,9005,8700,7000,7604,7800,8500,0
171,100100,1,2,2,34,3,5,7,0,0,0,3,0,0,0,0,0,1
172,140300,2,1,2,32,4980,5450,6464,6847,8075,8592,1201,1108,500,1502,650,0,0
173,90300,2,3,2,35,130768,98511,94484,39368,34884,424,4805,4000,1000,699,424,26979,0
174,30200,2,2,2,38,26537,27136,27301,27853,28033,28756,1437,1481,1430,1001,1543,1200,0
175,20400,2,2,2,32,20130,17847,18988,7886,19786,20025,1,7027,1000,19000,6000,1000,1
176,360400,2,2,1,50,15005,5,9,0,0,0,1,0,0,2,0,780,0
177,150100,1,1,1,44,136519,146254,147631,138636,146609,149438,13576,7500,10600,11202,5400,0,0
178,180300,2,1,2,44,1,5,8,5436,100,9330,2,0,5436,101,9330,0,0
179,490100,1,1,1,39,385,385,386,15240,19656,24006,381,380,15240,5003,5000,7396,0
180,500500,1,3,1,49,36880,26036,32397,32830,17191,72198,1198,32382,2011,2,72198,10000,0
181,80300,1,1,2,33,61242,62160,56056,50829,50687,47362,2519,16,2003,2017,5007,113,0
182,170500,2,2,2,38,2850,1946,8,0,0,0,1942,0,0,4,0,0,0
183,220100,1,2,1,40,147050,137565,131099,121259,117003,116902,6365,5892,5000,4371,4178,5000,0
184,500400,2,1,2,32,29095,5768,15680,9393,69526,37940,5768,15691,9393,69528,5000,20000,0
185,200400,1,1,1,58,152521,148756,144083,8174,8198,7918,1,0,8222,304,0,1000,1
186,10100,2,2,2,23,14900,12016,7936,7693,6838,3486,7004,4000,207,233,70,0,0
187,10300,1,2,1,51,9418,8857,8305,8792,9277,9744,1007,1000,1000,1001,1000,1000,0
188,220500,2,1,2,30,47945,44919,46455,37604,15540,20330,5002,5008,7000,4002,5000,150,0
189,130500,2,2,1,53,112436,98460,103357,100724,97675,102080,6,12700,0,4001,11461,0,0
190,50200,2,2,2,24,47666,41028,42169,6765,19286,9558,2005,2102,255,3004,191,0,0
191,170200,2,2,2,29,168859,171535,164517,128279,139968,127502,7003,6500,8000,15462,2163,4300,0
192,210200,2,1,2,41,6002,5,2888,0,0,0,6,2880,0,3,0,0,0
193,280300,1,2,1,51,236172,242870,243522,215853,189911,161830,11007,10500,8010,7002,6000,4600,0
194,10100,2,1,2,26,10440,10135,9744,9178,8398,0,5,0,0,5,0,0,0
195,70500,2,2,2,29,41266,41804,37895,37876,6736,4162,2117,1200,758,6739,0,0,0
196,220200,1,1,1,33,8759,-2318,-3313,-3322,-3622,-2852,15,23000,0,0,3000,0,0
197,250200,1,1,1,39,206435,210034,214874,218593,159789,163454,8302,9500,9000,5504,6000,13000,0
198,330400,1,3,1,47,227393,228724,229651,227587,227775,228203,8216,8095,8025,8180,8391,8200,0
199,80300,2,3,1,57,67674,61351,59107,53133,48598,48882,2148,6433,0,2002,2000,2000,0
200,180200,2,3,1,57,445,445,448,440,440,440,443,440,440,444,440,440,1
201,50400,2,2,1,57,41772,42566,42880,7606,11267,14453,2085,2001,500,4428,4000,2000,1
202,90500,2,1,2,27,33340,39014,47664,52372,52112,56257,10001,10000,6000,1575,5000,1363,0
203,80500,2,3,2,27,80807,81395,81709,79080,59873,60520,3002,3058,9013,2205,2200,2500,0
204,50400,2,3,1,36,10459,37912,33610,25303,17841,6980,37910,1599,1200,3,0,3570,0
205,80200,2,1,2,28,66984,66135,67498,68535,66835,64962,2987,3056,2787,2750,2564,2926,0
206,60200,1,1,2,29,57756,59191,59009,27971,28619,29213,2963,1628,1002,1102,1100,922,1
207,100300,2,2,2,27,8795,4915,6,674,0,980,1006,0,674,3,980,4413,0
208,50100,2,2,2,34,49344,48302,49262,8838,9011,9872,3,3000,1000,1003,1000,1000,0
209,400200,2,1,2,38,847,1428,6657,3051,1926,51669,1435,6676,3051,10,51965,5038,0
210,400400,1,2,2,32,185678,189687,194517,199284,203502,195769,7004,8000,8000,7501,9000,5000,0
211,240300,2,1,2,42,338299,79854,81569,83224,84878,86665,2860,3000,3016,3038,3150,4000,0
212,440500,1,1,2,31,26434,23514,278964,274859,99618,103884,1250,279048,10758,5002,5080,2515,0
213,170100,1,3,1,50,317,321,641,316,466,316,322,632,0,470,316,0,0
214,150400,2,3,1,47,141418,144597,147641,129507,132219,134869,5460,5661,4636,4801,4850,5000,1
215,210400,1,1,2,34,5,5,8,0,700,0,2,0,0,701,0,0,1
216,10200,1,3,1,52,4679,6427,9152,8854,8563,9918,2001,3000,0,5,1500,0,0
217,280400,2,2,1,39,242868,237826,223187,237301,201226,207802,11004,11000,20000,10001,10000,15000,0
218,20500,2,2,2,24,13293,14371,15436,16367,16794,17323,1607,1600,1500,701,800,1000,0
219,50500,1,2,2,58,48028,49133,49355,44932,19559,18859,1885,1997,1943,697,683,680,0
220,180200,2,2,2,35,6316,1800,1198,1079,659,90,1798,1190,0,660,90,8856,0
221,20400,1,2,1,32,21639,19754,19476,19856,19147,20369,4,1303,690,855,1700,0,1
222,160500,1,3,1,37,4035,6725,8,8484,2060,0,6721,0,8484,2066,0,798,0
223,250200,2,1,2,37,6379,72178,6349,174,1676,388,72536,6456,174,1687,2,0,0
224,120100,2,2,1,36,22149,21125,4754,0,0,0,1552,1000,0,4,0,0,0
225,200300,2,1,2,31,3660,3041,3430,7403,4896,3185,3089,3475,7417,111,18,8424,0
226,500200,1,1,2,33,3,5,406,35528,10389,0,7,399,35129,3,0,1307,0
227,280400,1,1,2,32,2161,3,4,5823,2900,42128,6,0,5825,2917,42338,2419,1
228,140300,2,1,1,68,1,5,6,0,825,675,1,0,0,829,0,23715,0
229,290200,1,1,2,37,22685,25985,10415,118253,111765,13294,20249,10460,118299,2798,13358,14705,0
230,500300,1,2,1,44,-983,3521,1930,1924,8924,6729,4505,0,0,7005,36,532,1
231,50400,2,3,2,31,48136,52141,19764,5520,5204,4703,5265,1132,2138,177,200,168,0
232,30100,2,2,2,30,25169,25304,22921,14940,9365,1280,1421,1415,1002,201,104,0,0
233,180500,1,1,1,46,18901,20171,17004,15324,6758,5730,2013,6995,282,4,200,0,0
234,150500,1,1,2,29,149342,152465,141205,105802,106478,107096,10004,6040,5750,3000,5000,35000,0
235,40300,1,1,2,26,1947,17815,2878,396,2462,396,17812,2872,0,2465,0,17188,1
236,50400,2,3,1,42,48406,49453,50133,9717,9549,9840,2553,2227,339,501,600,500,0
237,490400,1,1,1,42,230095,224918,228005,217660,194641,199344,6,12000,12000,8004,8000,8000,0
238,280400,2,3,1,38,199047,184591,185075,177878,140710,81033,8202,7500,9000,6502,5000,2000,0
239,150300,1,2,2,51,86040,86419,87859,88692,90211,91543,3091,3218,3196,3362,3310,3573,0
240,180400,2,1,2,55,-1576,-1575,-1571,-1580,-1580,-1580,4,0,0,3,0,0,0
241,200400,2,2,1,32,1879,1695,6320,6034,6034,2493,1,6314,0,2,0,0,0
242,280400,2,1,2,35,2534,3002,14068,2693,697,5776,3004,14059,2693,699,5776,2671,0
243,110300,2,2,1,47,110951,111755,111233,110849,110575,110394,4094,3912,3888,3980,4162,3945,1
244,50200,2,2,2,24,9103,10451,12603,11449,9914,9875,1506,2651,500,502,500,500,0
245,110300,1,2,1,51,51396,51808,52895,54570,55368,56623,1861,1921,2563,2304,2300,1704,0
246,30500,1,1,2,25,28751,29462,29536,28433,21365,0,2007,2169,1260,823,0,0,0
247,210100,2,2,1,43,3092,1591,351,3763,877,0,1590,343,3763,877,0,419,1
248,40400,2,2,1,35,23735,24649,25758,26127,26401,25839,1603,1800,1100,1000,0,2300,1
249,50500,2,3,1,40,49578,48213,47626,19929,15693,13766,2068,3000,1171,2001,2000,2500,0
250,250500,1,1,1,53,2489,2492,2494,2487,2487,2487,7,0,0,2,0,0,1
251,280100,1,2,1,46,159969,164202,122617,119023,113754,115029,7823,4529,4238,4307,4208,4003,0
252,50100,1,1,2,38,49848,51220,47081,18853,19405,19237,2511,2300,0,1002,800,1000,0
253,260300,1,2,1,52,1,5,6,0,0,0,5,0,0,3,0,0,1
254,420500,2,1,2,35,26237,8960,33667,12957,10221,40060,8969,33661,3005,3004,40060,5000,0
255,10100,1,3,2,38,581,3105,3638,6260,5990,6520,4013,4011,6260,120,2000,2000,1
256,30500,1,1,1,49,2405,2405,2408,2400,2400,2400,4,0,0,2,0,0,1
257,110300,2,2,2,24,37858,39122,34339,12207,71932,73769,2004,3000,1500,71395,3000,3500,0
258,310200,1,1,1,42,-147,-145,-141,-150,-150,-150,5,0,0,2,0,0,0
259,20300,1,2,2,32,-2609,395,6,780,0,0,3006,0,780,5,0,0,0
260,260300,2,2,1,44,691,2505,9,0,0,0,2502,0,0,0,0,0,0
261,200200,2,2,2,31,38621,40617,32807,14664,17092,18820,3041,1306,3400,3003,2000,0,0
262,110300,2,2,2,40,111538,110372,112982,108390,107180,107309,5505,5900,5500,5003,5000,4300,0
263,160100,1,1,2,30,1,5,7,0,0,0,4,0,0,1,0,0,1
264,150200,2,2,2,31,61789,63155,68134,66432,73312,72015,3002,6000,0,8026,0,5700,0
265,90400,2,1,1,45,543,5,9,0,0,0,1,0,0,3,0,0,0
266,130400,2,1,2,31,93762,100177,97735,98588,97129,98016,8904,0,3401,3509,3671,3240,0
267,180300,2,1,2,31,50058,5325,9766,6494,32830,3267,5324,10008,6500,32833,3267,2650,0
268,20500,2,3,3,44,4096,1688,2930,1462,1462,6105,5,2924,0,1465,6105,0,0
269,50400,1,1,1,48,13177,15950,17186,18811,18380,19086,3006,1500,2000,4,2000,0,0
270,70200,1,2,1,44,59134,59836,61881,63359,64221,65706,2275,3614,3100,2501,3100,1000,1
271,70200,1,2,2,47,9733,9428,12260,12358,11865,11975,1,3000,600,2,450,500,0
272,20200,1,3,2,48,9418,9124,10022,9705,10540,10825,6,1200,0,1003,600,0,1
273,230300,1,2,1,52,21575,4705,9,0,0,0,4701,0,0,1,0,0,0
274,90500,2,2,2,40,2493,1247,1071,1062,1062,0,2,1062,1062,3,0,0,0
275,50200,1,2,2,26,53091,51986,50814,51518,50713,51309,2,0,1800,111,2400,1926,0
276,150100,2,1,2,27,119792,112829,92462,80532,59866,49472,4734,3610,2377,1717,828,846,0
277,20300,1,3,2,33,3682,6007,5766,12619,12274,15049,2402,0,7000,3,3000,4000,1
278,240100,1,2,2,26,178879,181722,165670,144277,112210,116047,6097,4729,5682,5501,5000,16290,1
279,30100,1,2,2,35,29576,26668,27738,56359,28847,13030,28005,2336,2000,2551,1000,0,0
280,340300,2,2,2,44,106869,117157,113321,114379,113627,112193,12007,0,4387,4635,4519,2402,0
281,30400,2,3,1,24,21511,20886,23225,28498,28060,29999,4,3000,6000,1203,3000,0,1
282,30500,2,1,2,32,4482,8386,12093,16788,18388,23228,4001,5000,5000,2003,5000,500,0
283,80300,1,1,1,49,2003,2343,5664,1670,3096,4590,2344,5655,1676,3100,4590,5598,1
284,50300,2,3,2,59,18603,18603,18843,18475,18135,17777,1326,1278,638,656,659,557,0
285,150500,2,1,1,40,109247,96565,86574,85069,508,0,3513,5000,5003,510,0,0,0
286,10200,2,3,3,53,9975,9630,9630,7773,5968,5380,2008,1801,0,701,1300,3200,1
287,140100,2,2,2,32,109,237,114,107,107,107,238,107,107,110,107,107,0
